1990	The minister is Charlie
1925	The minister is Dick
1935	The minister is Henry
1910	The minister is John
1945	The president is Kennedy
1900	The minister is Dan
1995	The minister is Bob
1960	The minister is Bush
1975	The minister is Steve
1955	The minister is Andrew
1980	The minister is Obama
1915	The minister is Robert
1985	The president is Bush
1955	The minister is Andrew
1935	The minister is Henry
1980	The minister is Obama
1980	The president is Clinton
1900	The minister is Dan
1920	The president is Dick
1980	The minister is Obama
1935	The minister is Henry
1910	The president is Charlie
1965	The minister is Kate
1935	The minister is Henry
1935	The president is Henry
1950	The president is Jill
1985	The president is Bush
1905	The minister is Kennedy
1950	The president is Jill
1900	The president is Anthony
1935	The minister is Henry
1925	The minister is Dick
1985	The minister is Trump
1900	The minister is Dan
1975	The minister is Steve
1980	The minister is Obama
1915	The president is Dan
1900	The president is Anthony
1935	The president is Henry
1930	The president is George
1975	The president is Kate
1990	The president is Obama
1990	The president is Obama
1980	The president is Clinton
1955	The minister is Andrew
1930	The minister is Frank
1965	The minister is Kate
1935	The president is Henry
1995	The president is Trump
1925	The minister is Dick
1900	The president is Anthony
1975	The president is Kate
1925	The minister is Dick
1955	The president is Steve
1980	The minister is Obama
1935	The president is Henry
1920	The minister is George
1995	The minister is Bob
1935	The president is Henry
1985	The minister is Trump
1955	The president is Steve
1940	The minister is Jill
1940	The president is Jack
1925	The president is Frank
1990	The minister is Charlie
1970	The minister is Clinton
1905	The minister is Kennedy
1950	The minister is Anthony
1915	The president is Dan
1940	The president is Jack
1995	The president is Trump
1925	The president is Frank
1950	The minister is Anthony
1915	The minister is Robert
1965	The minister is Kate
1940	The president is Jack
1940	The minister is Jill
1920	The president is Dick
1995	The president is Trump
1985	The minister is Trump
1945	The minister is Jack
1970	The minister is Clinton
1985	The president is Bush
1920	The president is Dick
1995	The president is Trump
1940	The president is Jack
1945	The president is Kennedy
1920	The minister is George
1935	The minister is Henry
1925	The minister is Dick
1920	The minister is George
1925	The president is Frank
1985	The minister is Trump
1925	The minister is Dick
1975	The president is Kate
1955	The minister is Andrew
1985	The minister is Trump
1915	The president is Dan
1915	The president is Dan
1965	The minister is Kate
1960	The president is Andrew
1915	The minister is Robert
1935	The minister is Henry
1905	The minister is Kennedy
1960	The minister is Bush
1970	The president is John
1940	The president is Jack
1940	The president is Jack
1950	The minister is Anthony
1935	The minister is Henry
1985	The president is Bush
1965	The minister is Kate
1960	The minister is Bush
1995	The president is Trump
1995	The president is Trump
1905	The president is Bob
1975	The president is Kate
1980	The president is Clinton
1980	The president is Clinton
1965	The president is Robert
1940	The president is Jack
1975	The minister is Steve
1900	The minister is Dan
1925	The minister is Dick
1960	The minister is Bush
1965	The minister is Kate
1915	The minister is Robert
1935	The minister is Henry
1905	The president is Bob
1940	The president is Jack
1940	The minister is Jill
1975	The president is Kate
1960	The president is Andrew
1910	The minister is John
1915	The president is Dan
1905	The president is Bob
1955	The president is Steve
1960	The minister is Bush
1920	The minister is George
1970	The minister is Clinton
1940	The president is Jack
1935	The minister is Henry
1995	The president is Trump
1945	The president is Kennedy
1920	The president is Dick
1900	The minister is Dan
1970	The minister is Clinton
1975	The minister is Steve
1970	The president is John
1985	The minister is Trump
1930	The minister is Frank
1915	The president is Dan
1990	The president is Obama
1920	The minister is George
1990	The president is Obama
1980	The president is Clinton
1990	The minister is Charlie
1930	The minister is Frank
1905	The president is Bob
1915	The president is Dan
1960	The president is Andrew
1900	The president is Anthony
1950	The president is Jill
1925	The minister is Dick
1900	The president is Anthony
1930	The president is George
1915	The minister is Robert
1950	The minister is Anthony
1960	The minister is Bush
1930	The minister is Frank
1905	The minister is Kennedy
1995	The minister is Bob
1990	The minister is Charlie
1920	The minister is George
1945	The minister is Jack
1995	The minister is Bob
1970	The president is John
1960	The minister is Bush
1905	The president is Bob
1990	The minister is Charlie
1945	The president is Kennedy
1980	The president is Clinton
1985	The minister is Trump
1965	The president is Robert
1920	The minister is George
1930	The minister is Frank
1965	The minister is Kate
1995	The president is Trump
1920	The minister is George
1915	The minister is Robert
1900	The minister is Dan
1935	The minister is Henry
1950	The president is Jill
1970	The president is John
1970	The minister is Clinton
1930	The minister is Frank
1940	The minister is Jill
1935	The president is Henry
1970	The minister is Clinton
1955	The minister is Andrew
1935	The minister is Henry
1970	The minister is Clinton
1910	The president is Charlie
1975	The president is Kate
1985	The minister is Trump
1910	The minister is John
1945	The minister is Jack
1910	The president is Charlie
1945	The minister is Jack
1950	The minister is Anthony
